roi,mse,rmse,corr,pve,empirical_entropy,empirical_mi_true_pred,past_std,future_std,pred_std
0,0.682714581489563,0.8262654425120072,0.47207208786269067,0.22276222705841064,2.360778202295034,0.13373522785698663,0.9472657442092896,0.9365042448043823,0.450975239276886
1,0.4844011962413788,0.6959893650346812,0.6489882794046464,0.4141279458999634,2.033455268094553,0.293807543948842,0.911431610584259,0.9088878631591797,0.5135010480880737
2,0.5983787178993225,0.7735494282198925,0.5638741557263088,0.31711578369140625,2.049665127800542,0.20175419777163595,0.9425925016403198,0.9360730051994324,0.5007261037826538
3,0.5138020515441895,0.7167998685436469,0.6308406704406461,0.3937716484069824,2.0372978102745725,0.2532856177102183,0.9209760427474976,0.9187588691711426,0.6390499472618103
4,0.7480285167694092,0.8648864184211758,0.4180116559489665,0.17053192853927612,2.266439191557618,0.09942451438940127,0.9517309069633484,0.949533998966217,0.45846569538116455
5,0.638724148273468,0.7992021948627694,0.530978522072297,0.28163623809814453,2.1144522912906303,0.1666907622969268,0.9388405084609985,0.9425588846206665,0.5168575644493103
6,0.7811732888221741,0.8838400810226781,0.39158093993741055,0.14726614952087402,2.0112200714817474,0.08761350577106491,0.95296311378479,0.9570180177688599,0.4493084251880646
7,0.6043158173561096,0.7773775256309573,0.5145991975174214,0.2628161311149597,2.0286460606544154,0.16488973549923988,0.9131859540939331,0.9042138457298279,0.42490866780281067
8,0.8571783304214478,0.9258392573343646,0.3198922302423028,0.09061920642852783,2.3289445169669856,0.05454950863261615,0.9733471870422363,0.9708636999130249,0.41563931107521057
9,0.7177868485450745,0.8472230217274991,0.46582460407569243,0.21602392196655273,2.3587935033964134,0.12698437725435902,0.9610111713409424,0.9566973447799683,0.41587692499160767
10,0.6760203838348389,0.8222045875783222,0.4963598545432959,0.24581104516983032,2.2886340965023066,0.151939740731847,0.9508100748062134,0.9467061758041382,0.44746288657188416
11,0.4601312577724457,0.6783297559243924,0.7073379123126365,0.4904096722602844,2.0801439620620665,0.33140607401389877,0.9475888013839722,0.9501513838768005,0.5774570107460022
12,0.6676722168922424,0.8171121201476835,0.5178006955708977,0.25262653827667236,2.452196748808238,0.16062360453294594,0.9440416097640991,0.9451421499252319,0.60703045129776
13,0.5431331992149353,0.7369757114145182,0.6383710758827704,0.4074826240539551,2.6708144676852337,0.27168984014368713,0.9594069123268127,0.9561560750007629,0.6160378456115723
14,0.6377691030502319,0.79860447222028,0.5485710803889298,0.29500246047973633,2.379246578307432,0.18260189928476955,0.9502255320549011,0.9494352340698242,0.5939313769340515
15,0.6297048926353455,0.793539471378296,0.566595452515162,0.31968700885772705,2.1015212603619062,0.18093265350801527,0.9601477384567261,0.9599641561508179,0.5790961980819702
16,0.41146934032440186,0.6414587596442984,0.4550186880578189,0.20651131868362427,1.9675501704983591,0.30400687882451,0.7249250411987305,0.7200559377670288,0.3442259132862091
17,0.6970657110214233,0.8349046119296643,0.5090205246954183,0.2591016888618469,2.234079470719614,0.1456408132800699,0.9664876461029053,0.9697646498680115,0.4931294918060303
18,0.7900725603103638,0.8888602591579645,0.36342859704099545,0.12344688177108765,2.049728382480351,0.06812621270406596,0.9501821994781494,0.9492316842079163,0.43317729234695435
