source_roi,target_roi,mean_abs_coefficient
4,0,0.0021630830597132444
0,2,0.0021543027833104134
4,6,0.0021535044070333242
7,10,0.00214708736166358
18,3,0.0021427518222481012
10,4,0.0021258497145026922
2,3,0.002122483216226101
10,1,0.0021145446226000786
9,4,0.0021144363563507795
1,12,0.002114248229190707
10,9,0.0021092472597956657
2,14,0.0021043678279966116
10,5,0.0021000581327825785
2,9,0.002098802477121353
4,2,0.002090553753077984
10,12,0.0020883341785520315
16,8,0.002086305059492588
9,5,0.0020829590503126383
1,14,0.0020784130319952965
4,7,0.002076569711789489
2,17,0.0020748991519212723
16,2,0.002060768660157919
1,10,0.002057616366073489
2,8,0.0020386269316077232
4,1,0.002036075107753277
2,6,0.0020339947659522295
8,2,0.002012537559494376
9,15,0.002010202268138528
6,15,0.0020091598853468895
1,7,0.0020024338737130165
0,4,0.0019993858877569437
9,12,0.0019938761834055185
1,5,0.0019883152563124895
8,3,0.0019865285139530897
17,1,0.0019860556349158287
1,6,0.001982183661311865
0,1,0.0019656128715723753
7,4,0.001962619135156274
2,10,0.001960369758307934
10,11,0.0019476618617773056
1,8,0.0019376137061044574
16,1,0.00193417863920331
2,15,0.0019330193754285574
1,16,0.0019312355434522033
7,2,0.001931029953993857
6,4,0.0019289617193862796
4,17,0.0019156694179400802
6,2,0.001914786291308701
7,1,0.0019124909304082394
4,16,0.0019026410300284624
6,14,0.0018980103777721524
1,18,0.0018965053604915738
1,15,0.0018920747097581625
10,16,0.0018915911205112934
11,3,0.0018872824730351567
6,16,0.0018746652640402317
16,17,0.001866127597168088
7,15,0.0018588388338685036
6,17,0.0018581385957077146
7,14,0.0018529138760641217
4,18,0.0018327076686546206
9,7,0.001829961547628045
0,16,0.0018292766762897372
1,9,0.001818284043110907
0,3,0.0018141944892704487
10,2,0.0018057968700304627
7,13,0.0018043214222416282
17,16,0.0018009996274486184
2,1,0.0017879430670291185
1,13,0.0017770715057849884
18,2,0.0017613504314795136
7,3,0.001758376369252801
16,9,0.0017563372384756804
1,2,0.0017532759811729193
2,4,0.0017530540935695171
16,18,0.0017464563716202974
6,3,0.0017438181675970554
9,13,0.0017362228827551007
10,13,0.001726699061691761
9,2,0.0017218923894688487
2,11,0.0017175573157146573
16,0,0.0017115086084231734
16,4,0.00170824583619833
4,10,0.001705795293673873
1,11,0.0016974874306470156
9,14,0.001694458769634366
4,5,0.0016878092428669333
2,12,0.0016678913962095976
8,16,0.0016366594936698675
4,9,0.0016267983010038733
2,16,0.0016229061875492334
16,7,0.001621588016860187
4,15,0.0016198869561776519
2,13,0.0015881359577178955
4,12,0.0015845855232328176
4,14,0.001568599371239543
16,13,0.0015610050177201629
6,5,0.001557826530188322
9,1,0.0015476866392418742
16,5,0.001544292434118688
16,11,0.0015390435000881553
1,4,0.0015276935882866383
16,14,0.001513881143182516
9,3,0.0015007626498118043
16,6,0.0014961876440793276
4,13,0.001493298914283514
10,3,0.0014730592956766486
1,3,0.0014636213891208172
7,16,0.0014416658086702228
16,15,0.0014369714772328734
4,3,0.001423018635250628
9,16,0.0014096067752689123
16,3,0.001364737981930375
16,10,0.0013360925950109959
16,12,0.0013328540371730924
4,11,0.0013292318908497691
