0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.016590325,0.002189704,0.0022622219,0.0034436747,0.002163083,0.0043981588,0.0026711866,0.0026245269,0.0025006782,0.0023260394,0.0025487454,0.004910978,0.004962855,0.010040259,0.0035148875,0.0046992768,0.0017115086,0.002589421,0.0027304853
0.0019656129,0.017394263,0.0017879431,0.0024721099,0.002036075,0.0031477907,0.0024589852,0.0019124909,0.002284137,0.0015476866,0.0021145446,0.0027506321,0.0034577502,0.005177738,0.0036905177,0.004205362,0.0019341786,0.0019860556,0.0022209599
0.0021543028,0.001753276,0.017246928,0.0038532102,0.0020905538,0.0028346155,0.0019147863,0.00193103,0.0020125376,0.0017218924,0.0018057969,0.0040050596,0.004097518,0.005840739,0.0024390265,0.0049130237,0.0020607687,0.0025933539,0.0017613504
0.0018141945,0.0014636214,0.0021224832,0.024276348,0.0014230186,0.003024016,0.0017438182,0.0017583764,0.0019865285,0.0015007626,0.0014730593,0.0018872825,0.0036353485,0.012751826,0.0033030403,0.0036997588,0.001364738,0.0029219433,0.0021427518
0.001999386,0.0015276936,0.0017530541,0.003493055,0.018783435,0.002809681,0.0019289617,0.0019626191,0.0024075406,0.0021144364,0.0021258497,0.0023828666,0.004063079,0.004660767,0.003364907,0.0030200535,0.0017082458,0.002291246,0.0023843911
0.0027482186,0.0019883153,0.002231489,0.004619579,0.0016878092,0.029658876,0.0015578265,0.0022440625,0.0028392083,0.002082959,0.0021000581,0.007252829,0.006781107,0.005865486,0.0052386667,0.007845488,0.0015442924,0.0032356726,0.002431865
0.0027122286,0.0019821837,0.0020339948,0.0034097726,0.0021535044,0.0031006837,0.016615657,0.0026459165,0.0036988528,0.0030163093,0.0023972893,0.004797645,0.0043703537,0.008387861,0.0032033494,0.00532169,0.0014961876,0.002573278,0.0026020496
0.002237006,0.0020024339,0.0021868912,0.0031088872,0.0020765697,0.0043451814,0.002769334,0.016074337,0.0025779842,0.0018299615,0.0024375212,0.003444156,0.005325423,0.0057312003,0.003067733,0.0049264077,0.001621588,0.0024715874,0.002334403
0.0025435733,0.0019376137,0.002038627,0.0037533892,0.0022508253,0.0061483937,0.0033783317,0.0025734312,0.0149322115,0.0032990745,0.003190675,0.0050394,0.0063229,0.006597357,0.005041736,0.0057039503,0.002086305,0.002524399,0.0024401497
0.0027835418,0.001818284,0.0020988025,0.0035764666,0.0016267983,0.0052011847,0.0028719348,0.0021773903,0.002391666,0.015682831,0.0021092473,0.0047693313,0.006684597,0.0099139875,0.004701142,0.004971541,0.0017563372,0.0026578896,0.002518758
0.0024955447,0.0020576164,0.0019603698,0.0034126819,0.0017057953,0.00467998,0.002544169,0.0021470874,0.0032459225,0.0025606907,0.015733128,0.0046872543,0.005433523,0.009043513,0.0034744828,0.0041426835,0.0013360926,0.0032577375,0.0025872595
0.0025222774,0.0016974874,0.0017175573,0.0034453436,0.0013292319,0.009198064,0.0025239163,0.002284121,0.0031410146,0.0024729471,0.0019476619,0.024668304,0.013065807,0.006531468,0.004647064,0.005134874,0.0015390435,0.0025630095,0.0027765848
0.0025160732,0.0021142482,0.0016678914,0.0030912273,0.0015845855,0.008287117,0.0025653788,0.0023305595,0.0031140272,0.0019938762,0.0020883342,0.009848109,0.03139693,0.005841848,0.0051375683,0.00474845,0.001332854,0.0030639775,0.0034682474
0.002502793,0.0017770715,0.001588136,0.00629721,0.0014932989,0.0037807615,0.0027511546,0.0018043214,0.0027964516,0.0017362229,0.0017266991,0.003607286,0.0053112516,0.04936772,0.004083768,0.0036953902,0.001561005,0.0031129222,0.0023790128
0.0023664855,0.002078413,0.0021043678,0.004572938,0.0015685994,0.005057885,0.0018980104,0.0018529139,0.0023222582,0.0016944588,0.002533095,0.0031665969,0.0037534956,0.0068906443,0.02426512,0.0048820777,0.0015138811,0.0035506864,0.0025727882
0.0023851448,0.0018920747,0.0019330194,0.003924922,0.001619887,0.0073722354,0.00200916,0.0018588388,0.002748564,0.0020102023,0.0022138306,0.0042776996,0.003787076,0.007051261,0.004472422,0.03416525,0.0014369715,0.0033164634,0.002904627
0.0018292767,0.0019312355,0.0016229062,0.0031365014,0.001902641,0.0026772474,0.0018746653,0.0014416658,0.0016366595,0.0014096068,0.0018915911,0.0027559344,0.004520104,0.0036301618,0.003097674,0.0029131887,0.017549265,0.0018009996,0.0022458
0.0025366088,0.0023746379,0.0020748992,0.0033844563,0.0019156694,0.003775297,0.0018581386,0.002764901,0.0027809232,0.0026534216,0.0028039245,0.0028016828,0.004162867,0.006318453,0.004024741,0.00401121,0.0018661276,0.018219093,0.003614925
0.0024664453,0.0018965054,0.002554813,0.0044171982,0.0018327077,0.0039566276,0.00332646,0.0028910176,0.0024308935,0.0027111205,0.0028665275,0.003934929,0.006091159,0.006824894,0.003435227,0.0050869435,0.0017464564,0.005453844,0.01595991
