roi,empirical_mi,empirical_entropy,empirical_eta,corr,pve,rmse
0,0.12690846987995583,1.9005305719448857,0.06677528462487123,0.47207208786269067,0.22276222705841064,0.8262654425120072
1,0.26626215984182444,1.5833590255224044,0.16816284591791003,0.6489882794046464,0.4141279458999634,0.6959893650346812
2,0.18597489471459283,1.5984570754523246,0.11634650537103106,0.5638741557263088,0.31711578369140625,0.7735494282198925
3,0.22401707021897904,1.586215163206638,0.1412274169451089,0.6308406704406461,0.3937716484069824,0.7167998685436469
4,0.09378905462865009,1.807947911282757,0.051875971671138436,0.4180116559489665,0.17053192853927612,0.8648864184211758
5,0.15132631842419925,1.6592385028244392,0.0912022702984006,0.530978522072297,0.28163623809814453,0.7992021948627694
6,0.0791003350214777,1.5615019449675058,0.050656571563266986,0.39158093993741055,0.14726614952087402,0.8838400810226781
7,0.1486459295191261,1.5782621503090193,0.09418329489174372,0.5145991975174214,0.2628161311149597,0.7773775256309573
8,0.050692462080347674,1.8695788336839219,0.027114375263028262,0.3198922302423028,0.09061920642852783,0.9258392573343646
9,0.12001345562561269,1.8986649336607064,0.06320939176674972,0.46582460407569243,0.21602392196655273,0.8472230217274991
10,0.14289967284622213,1.8301522569004947,0.07808075656402258,0.4963598545432959,0.24581104516983032,0.8222045875783222
11,0.2874432234101761,1.6279474852386486,0.17656787213124495,0.7073379123126365,0.4904096722602844,0.6783297559243924
12,0.15095631513053492,1.990433596216531,0.07584091999723118,0.5178006955708977,0.25262653827667236,0.8171121201476835
13,0.2554232246686856,2.20618000004168,0.11577623977361062,0.6383710758827704,0.4074826240539551,0.7369757114145182
14,0.170665498363777,1.9188505375525113,0.08894152776556086,0.5485710803889298,0.29500246047973633,0.79860447222028
15,0.1527110467685203,1.6461229551941483,0.09277013377801803,0.566595452515162,0.31968700885772705,0.793539471378296
16,0.2619204262551712,1.636525691061014,0.16004663274500716,0.4550186880578189,0.20651131868362427,0.6414587596442984
17,0.13437248833668003,1.7769450233661725,0.07561994691431399,0.5090205246954183,0.2591016888618469,0.8349046119296643
18,0.0619465586576693,1.5982419282449383,0.038759187556576806,0.36342859704099545,0.12344688177108765,0.8888602591579645
