source_roi,target_roi,empirical_information_drop
17,8,-2.5884482965921052e-05
3,0,-3.9334234315901995e-05
8,16,-4.8521877033635974e-05
13,9,-7.487089169444516e-05
3,10,-9.392220090376213e-05
5,7,-0.00011326137610012665
4,10,-0.00011850491137010977
9,14,-0.00013333135575521737
16,1,-0.0001416142040397972
3,7,-0.00014973373617976904
6,12,-0.00015847272879909724
17,7,-0.00016200232494156808
13,16,-0.00017742683121468872
14,0,-0.0001808126544347033
7,8,-0.00018150733376387507
0,2,-0.00018406407616566867
13,4,-0.00019232812337577343
3,5,-0.00020448907162062824
2,12,-0.00020824444072786719
0,1,-0.00021082452440168709
10,4,-0.000233154947636649
14,8,-0.00023931120813358575
4,18,-0.0002474387874826789
1,4,-0.0002577077248133719
2,1,-0.00026261687162332237
3,15,-0.00026367479586042464
0,18,-0.0002670197281986475
15,6,-0.00027057380066253245
17,2,-0.00027146752108819783
7,9,-0.0002786899567581713
8,18,-0.0002798281784635037
18,4,-0.0002831127494573593
13,6,-0.00028835743432864547
5,10,-0.00028885179199278355
18,8,-0.00029326524236239493
10,11,-0.0002954326628241688
14,10,-0.00029566255398094654
5,14,-0.0003018745337612927
2,10,-0.0003076657885685563
4,3,-0.0003319721727166325
2,0,-0.00033730408176779747
9,16,-0.00034197213244624436
12,18,-0.00034296928788535297
3,6,-0.000349444046150893
4,6,-0.00035707399365492165
2,15,-0.00036566000198945403
7,18,-0.00037204622640274465
16,8,-0.000372662820154801
1,14,-0.00038037935155443847
12,10,-0.00038412745925597847
8,1,-0.0004023214860353619
7,4,-0.0004046263638883829
18,0,-0.00040586042450740933
16,9,-0.00042003451380878687
6,8,-0.0004256502434145659
4,17,-0.0004274581733625382
4,7,-0.00042867331649176776
6,10,-0.0004291617660783231
15,4,-0.0004704312013927847
8,3,-0.00047406298108398914
10,6,-0.0004782525938935578
1,13,-0.0004823094350285828
16,13,-0.0004936826881021261
13,8,-0.0004972785827703774
5,2,-0.0005038913222961128
2,8,-0.0005059959948994219
2,7,-0.000514004728756845
8,6,-0.0005145426839590073
7,2,-0.0005202330066822469
11,4,-0.0005332333385013044
7,15,-0.0005408486467786133
13,7,-0.0005423340480774641
10,3,-0.0005444365669973195
16,0,-0.0005464741261675954
10,14,-0.0005592703819274902
5,15,-0.000563791545573622
6,3,-0.000567515438888222
18,12,-0.0005792870069853961
7,10,-0.0005985962925478816
16,17,-0.0006009984645061195
8,4,-0.0006060774903744459
15,0,-0.0006189846899360418
9,1,-0.0006325513822957873
1,2,-0.0006462689489126205
4,2,-0.000649535097181797
18,14,-0.0006604290683753788
3,2,-0.0006708411383442581
7,3,-0.000686727580614388
6,9,-0.0007032209541648626
11,15,-0.0007131733000278473
15,16,-0.0007276107207871974
11,9,-0.0007290070061571896
14,7,-0.000756262568756938
12,8,-0.0007800740422680974
8,14,-0.0007859457400627434
9,7,-0.0007898312178440392
2,4,-0.0007982209208421409
10,16,-0.0008200517622753978
15,13,-0.0008234840934164822
4,5,-0.0008328559924848378
7,0,-0.0008376433397643268
17,9,-0.0008389876456931233
15,12,-0.0008459465461783111
2,14,-0.0008552806102670729
3,4,-0.0008779973140917718
3,18,-0.0008841035887598991
15,8,-0.0009119959431700408
18,2,-0.0009120262693613768
0,10,-0.0009428997873328626
0,12,-0.0009475373080931604
14,2,-0.0009714346961118281
8,5,-0.0009722704999148846
8,2,-0.00099026074167341
2,13,-0.0009966306388378143
10,8,-0.0010005939984694123
5,13,-0.0010028347605839372
9,18,-0.0010440744226798415
12,6,-0.0010441902559250593
16,7,-0.0010445683728903532
10,17,-0.0010454511502757668
1,6,-0.001074606436304748
0,7,-0.0010794887784868479
8,12,-0.001080167363397777
10,7,-0.0010968295391649008
9,0,-0.0011308060493320227
7,13,-0.0011690123938024044
15,9,-0.001187911257147789
11,0,-0.00120231241453439
6,0,-0.0012117918813601136
8,10,-0.0012587526580318809
12,3,-0.0013062776997685432
5,9,-0.0013129976578056812
3,14,-0.0013665341539308429
12,2,-0.0013736418914049864
15,10,-0.0014149917988106608
12,7,-0.0014515911461785436
14,18,-0.0014577459078282118
6,17,-0.0014683601912111044
1,12,-0.0014871183084324002
9,2,-0.0015078121796250343
9,6,-0.0015361937694251537
17,0,-0.0015663596568629146
2,11,-0.0015673309098929167
2,3,-0.0015757454093545675
16,2,-0.0015956445131450891
14,9,-0.0016421298496425152
1,11,-0.0016475673764944077
18,7,-0.0016498853219673038
18,16,-0.0016983906971290708
15,3,-0.00173425383400172
8,0,-0.0017606945475563407
0,17,-0.0018690329743549228
7,17,-0.0018723156535997987
13,2,-0.0018896948313340545
13,10,-0.0019357408164069057
10,0,-0.0019420386524870992
11,7,-0.001952364225871861
1,17,-0.0019696427043527365
7,6,-0.0021116365678608418
11,12,-0.002146997256204486
13,15,-0.0022686475422233343
6,13,-0.002336907433345914
6,11,-0.0023999828845262527
5,0,-0.0025019573513418436
11,17,-0.0025736342649906874
15,7,-0.0026312661357223988
8,11,-0.0026390079874545336
0,16,-0.0027745761908590794
12,0,-0.0028384970501065254
8,17,-0.0028835576958954334
8,13,-0.0033080480061471462
17,18,-0.003350837156176567
7,11,-0.0034000372979789972
14,13,-0.003460915060713887
18,17,-0.003557623829692602
1,7,-0.0037975613959133625
3,16,-0.00397525355219841
12,16,-0.0041702608577907085
8,7,-0.0050683459267020226
18,11,-0.005321368109434843
14,16,-0.006221514195203781
