source_roi,target_roi,empirical_mi_drop
12,8,-5.995536330155593e-05
15,7,-6.106748243270288e-05
16,9,-6.440971956353514e-05
2,8,-7.672771443831272e-05
5,1,-8.205283751072656e-05
15,9,-8.364765025425935e-05
6,15,-8.665056352288869e-05
3,7,-8.67892007485882e-05
12,3,-8.855810074948067e-05
0,4,-8.900490856750265e-05
2,4,-9.010926985041079e-05
16,0,-9.049671045430197e-05
1,17,-9.068054658417646e-05
16,15,-0.00010012028222236569
16,4,-0.00010036537011755275
16,13,-0.00010369865139636669
8,11,-0.0001037860129279311
1,4,-0.00010812960457133591
3,1,-0.00011399317194327185
17,9,-0.00011613824192213684
8,17,-0.00011700414211260335
16,11,-0.00011734775421490262
8,15,-0.00012245871523000607
1,10,-0.00012406591764921315
2,12,-0.00012441275264876706
16,18,-0.00012499805957250087
0,7,-0.00012540194994184461
14,6,-0.0001269083130831239
16,2,-0.0001378464034646476
2,7,-0.0001403185009241914
9,4,-0.00014283490442189295
0,13,-0.00014658482654283933
7,4,-0.00014791928818184974
10,2,-0.0001512118668955953
12,7,-0.000151672662775576
2,0,-0.0001558643144784766
16,14,-0.0001675554009158975
10,3,-0.0001785173605509116
8,4,-0.00018193635476594638
2,5,-0.00018340368048225253
4,17,-0.00019222761869436278
14,0,-0.000192994259637147
9,14,-0.00019648960658608106
4,0,-0.00019742708441489176
17,6,-0.00020024411987065727
0,3,-0.00020681311803000257
6,4,-0.0002175402209741023
7,2,-0.0002214966373101923
10,6,-0.00024454549733241016
18,2,-0.0002493889023483242
1,2,-0.0002504384099486501
10,9,-0.00025045087370567654
14,4,-0.00025064258739845857
18,15,-0.00025299936919356836
8,18,-0.00026480611232025664
14,15,-0.00026783632111235245
15,0,-0.00027179049620859597
13,7,-0.000273182814199191
10,15,-0.0002772951936713397
17,4,-0.0002877745134352433
11,18,-0.000293681127125911
16,1,-0.00029532715439090085
0,10,-0.0002955330377033827
8,14,-0.00029583577397845895
11,9,-0.00029590849267865926
3,15,-0.0002969713200187407
18,14,-0.0002996696621426209
4,11,-0.0003050730169289473
4,18,-0.00031072835890008643
6,1,-0.0003171317629060977
3,9,-0.0003270520567801305
9,2,-0.0003293619932908942
9,18,-0.0003374939657082021
8,1,-0.00033871411619834646
4,3,-0.00034322174948109296
0,17,-0.0003442778356730902
18,12,-0.0003469530822158007
1,9,-0.0003587967793562963
6,7,-0.0003635993938366222
0,15,-0.0003678946039717135
16,17,-0.0003679238557899589
18,3,-0.0003723275241142576
18,5,-0.0003798098634008318
7,13,-0.00038374270133467725
2,14,-0.0003853388462529139
6,17,-0.0003956570331821174
9,1,-0.00040401391546146526
5,2,-0.00040834101105632903
1,14,-0.00042056720966282546
3,10,-0.0004325950343441187
4,5,-0.00043670724187913623
3,2,-0.00044538677266164894
6,3,-0.000445879882077338
1,7,-0.0004567954711995059
4,2,-0.00045880192414934906
2,9,-0.0004653148435448673
