roi,mse,rmse,corr,pve,empirical_mi,empirical_entropy,normalized_empirical_mi,true_std,pred_std
0,0.679818868637085,0.8245112907881159,0.4754552991878789,0.2257986068725586,0.13634943646968783,2.360778202295034,0.05775614004614147,0.9365042448043823,0.4603409767150879
1,0.4879431426525116,0.6985292711493997,0.6434437478543579,0.40976113080978394,0.2896674085135671,2.033455268094553,0.14245083875626985,0.9088878631591797,0.5255051255226135
2,0.600644588470459,0.7750126376198384,0.5613444141714107,0.3148295283317566,0.19963134206975974,2.049665127800542,0.09739705250480747,0.9360730051994324,0.5098525285720825
3,0.5084150433540344,0.7130322877360004,0.6329900242585772,0.398151159286499,0.2627091291480609,2.0372978102745725,0.12894979213300478,0.9187588691711426,0.6277346014976501
4,0.7547210454940796,0.8687468247389912,0.4146984162972896,0.16696399450302124,0.09878787229658484,2.266439191557618,0.043587259108703,0.949533998966217,0.46098577976226807
5,0.6342058777809143,0.7963704400471644,0.535779597155892,0.2870597243309021,0.17223491726283935,2.1144522912906303,0.08145604323738524,0.9425588846206665,0.5051911473274231
6,0.7882773280143738,0.8878498341579919,0.3869942474906648,0.13987767696380615,0.08592144486224937,2.0112200714817474,0.04272105578128247,0.9570180177688599,0.4655192494392395
7,0.6092603206634521,0.7805512927818723,0.5075895964070412,0.25697630643844604,0.1606510702903619,2.0286460606544154,0.07919127609596852,0.9042138457298279,0.4355490803718567
8,0.8626672625541687,0.9287988278169653,0.3145208052883865,0.0848727822303772,0.052901797313855255,2.3289445169669856,0.022714923832847348,0.9708636999130249,0.42043793201446533
9,0.7219138145446777,0.8496551150582675,0.46035186020745383,0.21145522594451904,0.12419422381302164,2.3587935033964134,0.05265158804030214,0.9566973447799683,0.41970688104629517
10,0.6808148622512817,0.8251150600075614,0.49095099011043697,0.24072706699371338,0.1496006642310302,2.2886340965023066,0.06536678993797995,0.9467061758041382,0.44823193550109863
11,0.4612855613231659,0.6791800654636191,0.7027499946468434,0.4896094799041748,0.3381646457427673,2.0801439620620665,0.16256790487105463,0.9501513838768005,0.6057910323143005
12,0.6522735953330994,0.8076345679409094,0.5337388347677559,0.2730715870857239,0.1721220131702365,2.452196748808238,0.07019094746529504,0.9451421499252319,0.6071521639823914
13,0.5460726618766785,0.7389672941860678,0.6347818963830163,0.40294337272644043,0.27158501180929606,2.6708144676852337,0.10168621411002547,0.9561560750007629,0.6090095043182373
14,0.6352423429489136,0.7970209175102706,0.5512778674744414,0.29697561264038086,0.18625215230772785,2.379246578307432,0.07828198809059428,0.9494352340698242,0.6024490594863892
15,0.6274054646492004,0.7920893034558669,0.5685924301603555,0.3194977641105652,0.19909961159798462,2.1015212603619062,0.09474070776881059,0.9599641561508179,0.6050014495849609
16,0.41862115263938904,0.6470093914615066,0.4448336260718579,0.19406211376190186,0.2531174186975618,1.9675501704983591,0.12864597939747643,0.7200559377670288,0.3647785782814026
17,0.7092215418815613,0.8421529207225735,0.4968026144533532,0.24638521671295166,0.14124143465776834,2.234079470719614,0.06322131173436286,0.9697646498680115,0.5018336772918701
18,0.785477876663208,0.8862718977058948,0.36845476234525576,0.12899541854858398,0.07222534463033903,2.049728382480351,0.035236544142938975,0.9492316842079163,0.42781394720077515
