source_roi,target_roi,empirical_mi_change
12,9,-0.0005532214385652878
18,9,-0.0005546931573291447
0,5,-0.0005822657134411102
16,2,-0.0005832666795972941
18,4,-0.0005942607483156448
3,16,-0.000631271659681687
18,14,-0.0006409537893297124
17,0,-0.0006438226419669957
10,8,-0.0006805673593460182
13,12,-0.0007067299319351017
1,7,-0.0007484475632008047
14,11,-0.0008024209609543975
7,13,-0.0008609892129688435
16,14,-0.0008746264043743013
0,8,-0.0009035972036346984
11,14,-0.0010064658890840406
15,8,-0.0010869863391322343
10,5,-0.001153264513007124
2,5,-0.0012092788216558903
5,6,-0.001214271664767952
17,11,-0.001367110652431669
10,14,-0.0013716986306838708
7,18,-0.0014788675139230656
4,7,-0.0015854191131008943
7,6,-0.0015963365518872896
18,2,-0.001730695166761942
16,18,-0.0018175845629439524
14,18,-0.0019545897453251415
14,0,-0.002093555651659862
2,8,-0.0022144522918293164
15,12,-0.002270639146146225
1,8,-0.002289225793258909
18,7,-0.0023004157715206253
13,5,-0.002512414015857667
7,3,-0.0026101703480344574
16,12,-0.002679376611310569
18,5,-0.002819679478023085
7,4,-0.0028857453978892167
5,7,-0.0029643917524914687
6,2,-0.0030504326189895736
14,5,-0.003263723119318662
6,12,-0.0032666484258214723
18,11,-0.0032805138139597734
9,3,-0.0035118040050227117
4,14,-0.003522866086878018
4,8,-0.003592275610077411
7,14,-0.0036112266109995517
1,12,-0.0036255633809727517
2,14,-0.003666360438277394
1,5,-0.003716776428582813
17,15,-0.0038763345743847433
9,6,-0.0038855501796762892
11,2,-0.004017183885032416
18,0,-0.004135065655024639
7,9,-0.004146579012622942
9,14,-0.004161436235485594
6,10,-0.004385188457418532
10,7,-0.004439744090054487
4,3,-0.0044751719741553675
13,17,-0.004516355399507066
10,11,-0.0045611923507286045
16,3,-0.004585628185423518
7,2,-0.004613891673294956
10,4,-0.0046609390176469145
15,16,-0.004697493101129102
8,3,-0.004717355942672086
1,6,-0.004820983522704658
11,3,-0.0049740436746843475
16,10,-0.005048504810030552
15,7,-0.005075632578841971
14,4,-0.0050953212500166045
7,11,-0.005168758477127056
15,11,-0.005195055523022796
13,4,-0.005209404061179923
18,6,-0.005232330435820387
12,4,-0.005353359221958731
1,4,-0.005440423611030032
8,11,-0.005453464772072425
2,6,-0.005494611065889776
4,12,-0.005497515538022912
4,6,-0.00566683885712449
6,4,-0.005788019892250362
9,7,-0.00580393029106796
6,8,-0.005936903735940302
4,0,-0.005942909537015928
7,8,-0.00595839978632251
13,2,-0.0061520512093583
5,4,-0.006153140360726839
13,7,-0.006260430892444935
6,5,-0.006260466280599952
3,4,-0.00626694430689656
16,4,-0.006318536555588616
15,1,-0.006470076547181125
12,5,-0.006633683689624692
4,2,-0.006788177460789302
12,0,-0.0068632334695791775
9,11,-0.006908169355420157
9,12,-0.007054212509395863
16,7,-0.007054289670007319
14,9,-0.007334836509936327
17,2,-0.0073822730457142605
0,1,-0.0075167892686758275
4,16,-0.007538265552460732
0,11,-0.007587720976329648
11,16,-0.007683543728268849
4,15,-0.007795173939998734
2,4,-0.008019504910303843
6,13,-0.008029164767300534
5,9,-0.008162854880990833
6,3,-0.008191972946383741
11,6,-0.008373380380489126
17,1,-0.008428760571505656
11,12,-0.008492086972151203
14,8,-0.008516408572577516
11,1,-0.008734501032542918
16,1,-0.008838136769247495
14,6,-0.009718164493750958
8,14,-0.009916409124921088
2,3,-0.010240087414200127
7,1,-0.010396726595739203
12,16,-0.010540794923635133
2,15,-0.010998875496364358
2,11,-0.01106875794967388
13,16,-0.011156914592700962
12,18,-0.011368907528575833
0,12,-0.011802188005880176
9,15,-0.011906174512578027
12,1,-0.011980369340825359
2,1,-0.012071980266575078
8,2,-0.012146367366971944
8,4,-0.012585899942065881
7,15,-0.012714694948712357
17,4,-0.012973963700903035
0,15,-0.013404190704732422
5,15,-0.0135782807965662
0,16,-0.013616674424328679
8,6,-0.014101283541460563
15,14,-0.014357978497029578
6,14,-0.015103846706646218
3,11,-0.015219245626906686
6,11,-0.01582269445846285
17,16,-0.015883337622708882
9,4,-0.016935820627268783
10,1,-0.01814671753873709
9,8,-0.01990593630911769
5,1,-0.023522052735183818
