roi,empirical_entropy,empirical_mi,normalized_empirical_mi
0,2.360778202295034,0.13634943646968783,0.05775614004614147
1,2.033455268094553,0.2896674085135671,0.14245083875626985
2,2.049665127800542,0.19963134206975974,0.09739705250480747
3,2.0372978102745725,0.2627091291480609,0.12894979213300478
4,2.266439191557618,0.09878787229658484,0.043587259108703
5,2.1144522912906303,0.17223491726283935,0.08145604323738524
6,2.0112200714817474,0.08592144486224937,0.04272105578128247
7,2.0286460606544154,0.1606510702903619,0.07919127609596852
8,2.3289445169669856,0.052901797313855255,0.022714923832847348
9,2.3587935033964134,0.12419422381302164,0.05265158804030214
10,2.2886340965023066,0.1496006642310302,0.06536678993797995
11,2.0801439620620665,0.3381646457427673,0.16256790487105463
12,2.452196748808238,0.1721220131702365,0.07019094746529504
13,2.6708144676852337,0.27158501180929606,0.10168621411002547
14,2.379246578307432,0.18625215230772785,0.07828198809059428
15,2.1015212603619062,0.19909961159798462,0.09474070776881059
16,1.9675501704983591,0.2531174186975618,0.12864597939747643
17,2.234079470719614,0.14124143465776834,0.06322131173436286
18,2.049728382480351,0.07222534463033903,0.035236544142938975
