epoch,train_loss,val_loss,lr
1,0.2969198314781362,0.25308775780152304,0.0005
2,0.2817881834479957,0.2489931592527701,0.0005
3,0.27851769443001606,0.24817053487106244,0.0005
4,0.2766212365524569,0.24669894089504163,0.0005
5,0.27543707006101975,0.2464023919738069,0.0005
6,0.274403198100542,0.24570559938343203,0.0005
7,0.2736026644706726,0.2452337075861133,0.0005
8,0.2728427091693662,0.2453089432448757,0.0005
9,0.2720310716401963,0.24515055515328232,0.0005
10,0.27129999553265216,0.2451516739567932,0.0005
11,0.27071255161648705,0.24502753511983522,0.0005
12,0.27006507649713635,0.24439827550430687,0.0005
13,0.26955355274704307,0.24448089818565213,0.0005
14,0.26903898497017065,0.24428535085551592,0.0005
15,0.26859336104793075,0.2440396748027023,0.0005
16,0.2681066463458565,0.24438498458083796,0.0005
17,0.267684149904316,0.24393632278150443,0.0005
18,0.26732638079563237,0.24361177974817705,0.0005
19,0.2668979715327827,0.24351415707140553,0.0005
20,0.2666038903925154,0.24403612802223285,0.0005
