model,M,H,stride,num_epochs,model_rmse,naive_rmse,rmsse,eta,beat_naive,horizon_rmse,train_time_minutes
Linear Regression,50,3,1,,0.7993271350860596,0.9919413924217224,1.0079736709594729,0.1225405528016117,True,"[0.7018686532974243, 0.8257179260253906, 0.8615926504135132]",0.0162383556365966
LSTM,50,3,1,50.0,0.8071606159210205,0.9919413924217224,1.0179665088653564,0.1147872644040454,True,"[0.7087351679801941, 0.8346214890480042, 0.8692676424980164]",25.079428108533225
Transformer,50,3,1,50.0,0.799953281879425,0.9919413924217224,1.008278489112854,0.122250900043797,True,"[0.7018437385559082, 0.8267557621002197, 0.8623607158660889]",18.700173910458883
